event_date,location_description,latitude,longitude,landslide_category,landslide_size,landslide_trigger,fatality_count,injury_count
2017-05-13 14:21:00,"3201-3299 TN-70, Eidson, Tennessee, 37731",36.50129467,-83.02836628,rock_fall,medium,unknown,0,0
2017-05-16 13:15:00,"dirt road near Montana Ave, Lead SD",44.3517732,-103.7798821,landslide,small,rain,0,0
2017-06-05 13:34:00,"Kalaywa Township, Sagiang region, about 6 miles from Kalaywa",23.19807165,94.29816252,rock_fall,medium,unknown,0,0
2017-05-17 18:48:00,,40.61990972,-111.678278,landslide,small,unknown,0,0
2017-06-05 13:34:00,"1823 Washington St W, Charleston, West Virginia, 25312",38.37512397,-81.6651904,rock_fall,small,unknown,0,0
2017-06-19 13:15:00,,27.06992579,93.6146564,landslide,small,unknown,1,0
2016-08-14 12:40:00,"Dharka, Dhading, Nepal",28.069957,85.01,landslide,large,rain,0,0
2017-05-29 13:34:00,"Northwest Stavropol, dacha partnership of Yagodka",45.08144863,41.98700247,landslide,small,rain,0,0
2017-06-01 13:34:00,"13308 E Nora Ave, Spokane Valley, Washington, 99216",47.67463292,-117.226052,landslide,small,rain,0,0
2017-06-05 13:34:00,"Zojila area, between Sonarmarg and Meenmarg",34.27703802,75.46743478,landslide,small,rain,0,0
2017-05-31 13:34:00,"Altamont Pass, Livermore COunty",37.74061109,-121.6697643,landslide,small,unknown,0,0
2017-06-27 13:20:00,"Little River Road, Glide, Oregon, 97443",43.20953132,-122.8035956,rock_fall,medium,unknown,0,0
2017-05-27 13:34:00,Quarry at Phirangipuram village in Guntur,16.28332586,80.26097734,landslide,medium,rain,6,1
2017-05-19 20:14:00,"Highway 50 in Canon City, CO",38.45256863,-105.4935275,rock_fall,small,unknown,0,0
2017-06-29 13:20:00,"Jalal-Abad Region, Kyrgyzstan",41.25565464,72.45209341,mudslide,medium,rain,0,0
2017-05-24 20:14:00,"12-Mile Canyon Road, below Spring Hil, UT",39.13679306,-111.5601178,landslide,small,unknown,0,0
2016-08-10 19:22:00,"Munsyari, Pithoragarh, Uttarakhand, India",30.070512,80.237218,landslide,small,continuous_rain,1,0
